track_id,artist_id,track_name,track_url,artist_name,track_description,likes,comments,shares,plays,track_image_url,track_image_path,track_date_time,tags,bpm,key,genre,waveform_url,waveform_path,length,is_track,mix,feat,remixer,original_producer,track_date,beatport_url,beatport_track_name,label,beatport_release
6,1,I'm Week (Mixed),https://soundcloud.com/nina-kraviz/im-week-mixed,Nina Kraviz,None,260,6,36,5378,https://i1.sndcdn.com/artworks-Wdosvy3rwkqH-0-t500x500.jpg,https://sound-scraping.eu-west-3/track-images/1-6-artworks-Wdosvy3rwkqH-0-t500x500.jpg,2020-11-27T00:00:00.000Z,None,78,Bâ™­ min,Techno (Peak Time / Driving),https://geo-media.beatport.com/image_size/1500x250/959a9732-33b7-43c3-a420-6bc8048b7088.png,https://sound-scraping.eu-west-3/waveforms/1-6-959a9732-33b7-43c3-a420-6bc8048b7088.png,479,NULL,MIXED,The Juan Maclean,None,Nina Kraviz,NULL,https://www.beatport.com/track/im-week/14608470,NULL,Mixmag Records,27/11/2020
28,1,SÃ³nar Premiere: Nina Kraviz 'You Are Wrong' (PREMIER edit),https://soundcloud.com/nina-kraviz/sonar-premiere-nina-kraviz-you-are-wrong-premier-edit,Nina Kraviz,Nina Kraviz presents an exclusive new edit for SÃ³nar Festival of her track â€˜You Are Wrongâ€™. The edit is a live unmastered cut.,6529,90,923,204164,https://i1.sndcdn.com/artworks-000222959835-4ai0h7-t500x500.jpg,https://sound-scraping.eu-west-3/track-images/1-28-artworks-000222959835-4ai0h7-t500x500.jpg,2017-05-17T12:26:19.000Z,None,129,G min,Techno (Raw / Deep / Hypnotic),https://geo-media.beatport.com/image_size/1500x250/d94bb7ae-f7f2-4a75-870b-b219839158ae.png,https://sound-scraping.eu-west-3/waveforms/1-28-d94bb7ae-f7f2-4a75-870b-b219839158ae.png,431,NULL,ORIGINAL MIX,Rachel Row,None,Nina Kraviz,NULL,https://www.beatport.com/track/you-are-wrong/9449653,You Are Wrong,Trip,07/07/2017
29,1,Nina Kraviz - IMPRV (The Deviant Octopus EP),https://soundcloud.com/nina-kraviz/nina-kraviz-imprv-the-deviant-octopus-ep,Nina Kraviz,"Nina Kraviz launches her Ñ‚Ñ€Ð¸Ð¿ (pronounced â€˜tripâ€™) label with a double-EP compilation entitled â€™The Deviant Octopusâ€™, featuring a pair of brand new productions from Kraviz alongside material from Terrence Dixon, emerging talent Parrish Smith & Bjarki, and veteran producers Exos & Steve Stoll.",24085,277,3162,849139,https://i1.sndcdn.com/artworks-000099682603-np5h47-t500x500.jpg,https://sound-scraping.eu-west-3/track-images/1-29-artworks-000099682603-np5h47-t500x500.jpg,2014-12-09T11:32:01.000Z,None,129,A min,Techno (Raw / Deep / Hypnotic),https://geo-media.beatport.com/image_size/1500x250/bb26b041-93cc-4ae2-b12f-afeece2cc07a.png,https://sound-scraping.eu-west-3/waveforms/1-29-bb26b041-93cc-4ae2-b12f-afeece2cc07a.png,392,NULL,ORIGINAL MIX,VNSSA,None,Nina Kraviz,NULL,https://www.beatport.com/track/imprv/6047111,IMPRV,Trip,22/12/2014
35,1,I'm Week (Original Mix),https://soundcloud.com/nina-kraviz/im-week,Nina Kraviz,REKIDS052DB - Rekids,10269,80,1123,1409007,https://i1.sndcdn.com/artworks-000019189577-ecdirt-t500x500.jpg,https://sound-scraping.eu-west-3/track-images/1-35-artworks-000019189577-ecdirt-t500x500.jpg,2012-02-29T20:19:22.000Z,None,151,A min,Deep House,https://geo-media.beatport.com/image_size/1500x250/f2984abc-8614-47d2-9f2d-ed47d514c3e8.png,https://sound-scraping.eu-west-3/waveforms/1-35-f2984abc-8614-47d2-9f2d-ed47d514c3e8.png,500,NULL,ORIGINAL MIX,Special Request,None,Nina Kraviz,NULL,https://www.beatport.com/track/im-week/1598439,NULL,Rekids,12/12/2010
36,1,Pain In The Ass,https://soundcloud.com/nina-kraviz/pain-in-the-ass,Nina Kraviz,None,3969,30,245,104457,https://i1.sndcdn.com/artworks-k2bVUSZchkl8-0-t500x500.jpg,https://sound-scraping.eu-west-3/track-images/1-36-artworks-k2bVUSZchkl8-0-t500x500.jpg,2011-07-22T00:00:00.000Z,None,119,F min,Tech House,https://geo-media.beatport.com/image_size/1500x250/674eb1ac-8130-40e7-bfb3-84380fcf761f.png,https://sound-scraping.eu-west-3/waveforms/1-36-674eb1ac-8130-40e7-bfb3-84380fcf761f.png,400,NULL,ORIGINAL MIX,VNSSA,None,Nina Kraviz,NULL,https://www.beatport.com/track/pain-in-the-ass/1022252,Pain In The Ass,Rekids,06/12/2009
37,2,Error Error,https://soundcloud.com/taleofus/error-error,Tale of Us,"fabric 97
smarturl.it/fabric97_preorder",13309,195,1610,331111,https://i1.sndcdn.com/artworks-000294097494-g1p86v-t500x500.jpg,https://sound-scraping.eu-west-3/track-images/2-37-artworks-000294097494-g1p86v-t500x500.jpg,2018-01-31T13:00:22.000Z,None,126,A min,Melodic House & Techno,https://geo-media.beatport.com/image_size/1500x250/e132972c-5c3c-4ad7-b26d-7a252dbd4a7b.png,https://sound-scraping.eu-west-3/waveforms/2-37-e132972c-5c3c-4ad7-b26d-7a252dbd4a7b.png,400,NULL,ORIGINAL MIX,VNSSA,None,Tale Of Us,NULL,https://www.beatport.com/track/error-error/10281405,Error Error,Fabric,16/02/2018
46,2,Notte senza fine,https://soundcloud.com/taleofus/notte-senza-fine,Tale of Us,None,3653,54,450,145017,https://i1.sndcdn.com/artworks-lrZbfUGWWmLA-0-t500x500.jpg,https://sound-scraping.eu-west-3/track-images/2-46-artworks-lrZbfUGWWmLA-0-t500x500.jpg,2017-03-31T00:00:00.000Z,None,120,Dâ™­ maj,Electronica,https://geo-media.beatport.com/image_size/1500x250/9035df74-44ce-4d31-acd8-0bd4cb04952a.png,https://sound-scraping.eu-west-3/waveforms/2-46-9035df74-44ce-4d31-acd8-0bd4cb04952a.png,388,NULL,KIASMOS REMIX,VNSSA,None,Tale Of Us,NULL,https://www.beatport.com/track/notte-senza-fine/10065545,Notte senza fine,Decca (UMO),01/12/2017
47,2,Ricordi,https://soundcloud.com/taleofus/ricordi,Tale of Us,None,3334,59,428,137272,https://i1.sndcdn.com/artworks-OUc5JcJiLbqE-0-t500x500.jpg,https://sound-scraping.eu-west-3/track-images/2-47-artworks-OUc5JcJiLbqE-0-t500x500.jpg,2017-03-31T00:00:00.000Z,None,120,G min,Electronica,https://geo-media.beatport.com/image_size/1500x250/9242e425-505b-46db-9405-9f886b3bb3bb.png,https://sound-scraping.eu-west-3/waveforms/2-47-9242e425-505b-46db-9405-9f886b3bb3bb.png,400,NULL,RÃ˜DHÃ…D REMIX,Rachel Row,None,Tale Of Us,NULL,https://www.beatport.com/track/ricordi/10065540,Ricordi,Decca (UMO),01/12/2017
51,2,Tale Of Us - North Star,https://soundcloud.com/taleofus/tale-of-us-north-star,Tale of Us,North Star/Silent Space released 06/11 on R&S Records,35636,430,4824,1136975,https://i1.sndcdn.com/artworks-000134334465-uxkego-t500x500.jpg,https://sound-scraping.eu-west-3/track-images/2-51-artworks-000134334465-uxkego-t500x500.jpg,2015-10-28T17:48:48.000Z,None,124,Bâ™­ min,Techno (Peak Time / Driving),https://geo-media.beatport.com/image_size/1500x250/49cca294-689b-43de-8714-88b79b171af0.png,https://sound-scraping.eu-west-3/waveforms/2-51-49cca294-689b-43de-8714-88b79b171af0.png,465,NULL,ORIGINAL MIX,Special Request,None,Tale Of Us,NULL,https://www.beatport.com/track/north-star/7195333,North Star,R&S Records,06/11/2015
60,2,Lost City,https://soundcloud.com/taleofus/lost-city,Tale of Us,None,272,2,31,9695,https://i1.sndcdn.com/artworks-8toYaZpNY5Ht-0-t500x500.jpg,https://sound-scraping.eu-west-3/track-images/2-60-artworks-8toYaZpNY5Ht-0-t500x500.jpg,2013-04-24T00:00:00.000Z,None,124,Aâ™¯ maj,Deep House,https://geo-media.beatport.com/image_size/1500x250/4534e5cc-7c8e-42dc-babc-805d3280d2a1.png,https://sound-scraping.eu-west-3/waveforms/2-60-4534e5cc-7c8e-42dc-babc-805d3280d2a1.png,331,NULL,ORIGINAL MIX,VNSSA,None,Tale Of Us,NULL,https://www.beatport.com/track/lost-city/4227525,Lost City,Minus,24/04/2013
61,2,Discochord,https://soundcloud.com/taleofus/discochord,Tale of Us,None,229,2,28,7480,https://i1.sndcdn.com/artworks-2muOl2B2591I-0-t500x500.jpg,https://sound-scraping.eu-west-3/track-images/2-61-artworks-2muOl2B2591I-0-t500x500.jpg,2013-04-24T00:00:00.000Z,None,126,D min,Techno (Peak Time / Driving),https://geo-media.beatport.com/image_size/1500x250/2de59956-adf1-4c51-ba88-4f4b86254f59.png,https://sound-scraping.eu-west-3/waveforms/2-61-2de59956-adf1-4c51-ba88-4f4b86254f59.png,432,NULL,ORIGINAL MIX,VNSSA,None,Tale Of Us,NULL,https://www.beatport.com/track/discochord/4227524,Discochord,Minus,24/04/2013
62,2,Another Earth,https://soundcloud.com/taleofus/another-earth,Tale of Us,None,245,5,25,8348,https://i1.sndcdn.com/artworks-3bqHbwuKHFUQ-0-t500x500.jpg,https://sound-scraping.eu-west-3/track-images/2-62-artworks-3bqHbwuKHFUQ-0-t500x500.jpg,2013-04-24T00:00:00.000Z,None,123,Aâ™­ min,Techno (Peak Time / Driving),https://geo-media.beatport.com/image_size/1500x250/fb2363bb-3f05-4f84-b510-2047a6bb9578.png,https://sound-scraping.eu-west-3/waveforms/2-62-fb2363bb-3f05-4f84-b510-2047a6bb9578.png,345,NULL,ORIGINAL MIX,Priku,None,Tale Of Us,NULL,https://www.beatport.com/track/another-earth/5790115,Another Earth,Minus,12/09/2014
64,2,Into,https://soundcloud.com/taleofus/into,Tale of Us,None,1509,7,96,54947,https://i1.sndcdn.com/artworks-BEhyre1UWlKt-0-t500x500.jpg,https://sound-scraping.eu-west-3/track-images/2-64-artworks-BEhyre1UWlKt-0-t500x500.jpg,2010-05-14T00:00:00.000Z,None,128,G min,Tech House,https://geo-media.beatport.com/image_size/1500x250/01e887b8-17f1-48e6-8885-0c40b88bb470.png,https://sound-scraping.eu-west-3/waveforms/2-64-01e887b8-17f1-48e6-8885-0c40b88bb470.png,527,NULL,ORIGINAL MIX,Adeline (US),None,Tale Of Us,NULL,https://www.beatport.com/track/into/1152839,Into,Barraca Music,30/03/2010
65,2,Jungle Dub,https://soundcloud.com/taleofus/jungle-dub,Tale of Us,None,1177,5,70,46162,https://i1.sndcdn.com/artworks-8AMvTmcfhZb8-0-t500x500.jpg,https://sound-scraping.eu-west-3/track-images/2-65-artworks-8AMvTmcfhZb8-0-t500x500.jpg,2010-05-14T00:00:00.000Z,None,125,G min,Tech House,https://geo-media.beatport.com/image_size/1500x250/46537ac2-8584-4dd4-a369-dbb0914ff990.png,https://sound-scraping.eu-west-3/waveforms/2-65-46537ac2-8584-4dd4-a369-dbb0914ff990.png,571,NULL,ORIGINAL MIX,Priku,None,Tale Of Us,NULL,https://www.beatport.com/track/jungle-dub/1152840,Jungle Dub,Barraca Music,30/03/2010
66,2,The Backing Band,https://soundcloud.com/taleofus/the-backing-band,Tale of Us,None,466,2,46,19893,https://i1.sndcdn.com/artworks-4e6tS8ZZuhSK-0-t500x500.jpg,https://sound-scraping.eu-west-3/track-images/2-66-artworks-4e6tS8ZZuhSK-0-t500x500.jpg,2010-05-14T00:00:00.000Z,None,122,Aâ™­ min,Tech House,https://geo-media.beatport.com/image_size/1500x250/a7ee7644-b3ac-4c3a-a765-3059254ca7af.png,https://sound-scraping.eu-west-3/waveforms/2-66-a7ee7644-b3ac-4c3a-a765-3059254ca7af.png,535,NULL,ORIGINAL MIX,Kuvoka,None,Tale Of Us,NULL,https://www.beatport.com/track/the-backing-band/1152841,The Backing Band,Barraca Music,30/03/2010
67,2,Zarangi,https://soundcloud.com/taleofus/zarangi,Tale of Us,None,415,1,21,15929,https://i1.sndcdn.com/artworks-NZXEgaQXgaJK-0-t500x500.jpg,https://sound-scraping.eu-west-3/track-images/2-67-artworks-NZXEgaQXgaJK-0-t500x500.jpg,2010-05-14T00:00:00.000Z,None,126,G min,Tech House,https://geo-media.beatport.com/image_size/1500x250/b1cbe3d8-490f-4dc8-93d4-9a7a49eee04b.png,https://sound-scraping.eu-west-3/waveforms/2-67-b1cbe3d8-490f-4dc8-93d4-9a7a49eee04b.png,488,NULL,ORIGINAL MIX,Adeline (US),None,Tale Of Us,NULL,https://www.beatport.com/track/zarangi/1152842,Zarangi,Barraca Music,30/03/2010
69,3,Richie Hawtin - Time Stands Still,https://soundcloud.com/richiehawtin/richie-hawtin-time-stands,Richie Hawtin,None,688,35,126,20025,https://i1.sndcdn.com/artworks-JycsjImCGNYx-0-t500x500.jpg,https://sound-scraping.eu-west-3/track-images/3-69-artworks-JycsjImCGNYx-0-t500x500.jpg,2020-11-27T00:00:00.000Z,None,134,C min,Techno (Raw / Deep / Hypnotic),https://geo-media.beatport.com/image_size/1500x250/67f97fe7-85f3-4450-b4ba-743cfb4f0a62.png,https://sound-scraping.eu-west-3/waveforms/3-69-67f97fe7-85f3-4450-b4ba-743cfb4f0a62.png,997,NULL,ORIGINAL MIX,Kuvoka,None,Richie Hawtin,NULL,https://www.beatport.com/track/time-stands-still/14550764,Time Stands Still,From Our Minds,27/11/2020
77,3,"Kaiserdisco, Richie Hawtin - CLOSE combined (Acid Trip) (Live)",https://soundcloud.com/richiehawtin/kaiserdisco-richie-hawtin,Richie Hawtin,None,533,19,110,18119,https://i1.sndcdn.com/artworks-zoncDmv3tx1g-0-t500x500.jpg,https://sound-scraping.eu-west-3/track-images/3-77-artworks-zoncDmv3tx1g-0-t500x500.jpg,2019-09-20T00:00:00.000Z,None,129,A min,Techno (Peak Time / Driving),https://geo-media.beatport.com/image_size/1500x250/c9b2a753-0e7b-4777-ac5e-d22da4703449.png,https://sound-scraping.eu-west-3/waveforms/3-77-c9b2a753-0e7b-4777-ac5e-d22da4703449.png,273,NULL,LIVE,Kaiserdisco,None,Richie Hawtin,NULL,https://www.beatport.com/track/close-combined-acid-trip/12451683,CLOSE combined (Acid Trip),Plus 8 Records,20/09/2019
78,3,"Kuvoka, Richie Hawtin - CLOSE combined (Kargi Kontinued) (Live)",https://soundcloud.com/richiehawtin/kuvoka-richie-hawtin-close,Richie Hawtin,None,252,14,85,9769,https://i1.sndcdn.com/artworks-AhQp8P6W3E4x-0-t500x500.jpg,https://sound-scraping.eu-west-3/track-images/3-78-artworks-AhQp8P6W3E4x-0-t500x500.jpg,2019-09-20T00:00:00.000Z,None,129,A min,Techno (Peak Time / Driving),https://geo-media.beatport.com/image_size/1500x250/e361e1fa-dcae-45a4-907e-0fee6d6c6844.png,https://sound-scraping.eu-west-3/waveforms/3-78-e361e1fa-dcae-45a4-907e-0fee6d6c6844.png,267,NULL,LIVE,Kuvoka,None,Richie Hawtin,NULL,https://www.beatport.com/track/close-combined-kargi-kontinued/12451689,CLOSE combined (Kargi Kontinued),Plus 8 Records,20/09/2019
79,3,"Jen Series, ANNA, Richie Hawtin - CLOSE combined (When I'm a Freakin Acid Dream) (Live)",https://soundcloud.com/richiehawtin/jen-series-anna-richie-hawtin,Richie Hawtin,None,203,11,31,8145,https://i1.sndcdn.com/artworks-xZuIYRgZ3akW-0-t500x500.jpg,https://sound-scraping.eu-west-3/track-images/3-79-artworks-xZuIYRgZ3akW-0-t500x500.jpg,2019-09-20T00:00:00.000Z,None,129,A maj,Techno (Peak Time / Driving),https://geo-media.beatport.com/image_size/1500x250/8b824f82-5c10-4e82-bd52-018e268686bd.png,https://sound-scraping.eu-west-3/waveforms/3-79-8b824f82-5c10-4e82-bd52-018e268686bd.png,343,NULL,LIVE,ANNA,None,Richie Hawtin,NULL,https://www.beatport.com/track/close-combined-when-im-a-freakin-acid-dream/12451693,NULL,Plus 8 Records,20/09/2019
