index,track_name,track_id,dl_url,artist_name,artist_id
0,I'm Week (Mixed),6,https://joanne178972239606370.googuu.xyz/api/get.php?id=5257cb56d4c0310369cc6d0be38,Nina Kraviz,1
1,Sónar Premiere: Nina Kraviz 'You Are Wrong' (PREMIER edit),28,https://joanne178972239606370.googuu.xyz/api/get.php?id=f350549579b764991f7cd1445db,Nina Kraviz,1
2,Nina Kraviz - IMPRV (The Deviant Octopus EP),29,https://joanne178972239606370.googuu.xyz/api/get.php?id=09efdadc82b94aa901805af81b5,Nina Kraviz,1
3,I'm Week (Original Mix),35,https://joanne178972239606370.googuu.xyz/api/get.php?id=c5930796552b547c26805059134,Nina Kraviz,1
4,Pain In The Ass,36,https://joanne178972239606370.googuu.xyz/api/get.php?id=619fec165728af70109efda933a,Nina Kraviz,1
5,Error Error,37,https://lauren103351005573857.googuu.xyz/api/get.php?id=bb78c95bdb8dcc2a41506fe8be2,Tale of Us,2
6,Notte senza fine,46,https://lauren103351005573857.googuu.xyz/api/get.php?id=4f40394605f7acf33613e73a126,Tale of Us,2
7,Ricordi,47,https://lauren103351005573857.googuu.xyz/api/get.php?id=9b924fb249043f328f508cc182c,Tale of Us,2
8,Tale Of Us - North Star,51,https://lauren103351005573857.googuu.xyz/api/get.php?id=7b71519947f68d23cb6206730ba,Tale of Us,2
9,Lost City,60,https://glenda22687894964250.googuu.xyz/api/get.php?id=edeff731036c168a6aba53db58f,Tale of Us,2
10,Discochord,61,https://todd38997692451975.googuu.xyz/api/get.php?id=ba0e4da8f1debe27242487dbc6c,Tale of Us,2
11,Another Earth,62,https://constance94821994371095.googuu.xyz/api/get.php?id=b70af2bbf4f55055c157b369640,Tale of Us,2
12,Into,64,https://glenda22687894964250.googuu.xyz/api/get.php?id=164590351ce23b47b191ba0d973,Tale of Us,2
13,Jungle Dub,65,https://glenda22687894964250.googuu.xyz/api/get.php?id=9b2b92a0dfde45de98ef02654ad,Tale of Us,2
14,The Backing Band,66,https://liam5350415057231.googuu.xyz/api/get.php?id=daa78a7c65576aad3f6c01d15a4,Tale of Us,2
15,Zarangi,67,https://liam5350415057231.googuu.xyz/api/get.php?id=e0d5d5436528fecef9210c2a36b,Tale of Us,2
16,Richie Hawtin - Time Stands Still,69,https://miriam43578555713257.googuu.xyz/api/get.php?id=8b1991d201495e7803b9acf9fcc,Richie Hawtin,3
17,"Kaiserdisco, Richie Hawtin - CLOSE combined (Acid Trip) (Live)",77,https://miriam43578555713257.googuu.xyz/api/get.php?id=3b8783b9cb2ed93ce8d9be2493b,Richie Hawtin,3
18,"Kuvoka, Richie Hawtin - CLOSE combined (Kargi Kontinued) (Live)",78,https://marion73527222141285.googuu.xyz/api/get.php?id=fe3b46467ab6c1d7269f43c7847,Richie Hawtin,3
19,"Jen Series, ANNA, Richie Hawtin - CLOSE combined (When I'm a Freakin Acid Dream) (Live)",79,https://miriam43578555713257.googuu.xyz/api/get.php?id=0d28ee3d55c4691f1ed7db39f13,Richie Hawtin,3
20,"Ricardo Garduno, Richie Hawtin - CLOSE combined (Heartwarming Acid) (Live)",80,https://miriam43578555713257.googuu.xyz/api/get.php?id=ff44b65569dd9f4cb4853c4ea80,Richie Hawtin,3
21,"Rosper, Richie Hawtin - CLOSE combined (Artificial Technology) (Live)",81,https://harold197830720732935.googuu.xyz/api/get.php?id=e94409e86423ffb80f01ea81c68,Richie Hawtin,3
22,"Cam Deas, Richie Hawtin - CLOSE combined (Spontaneous Exercise) (Live)",82,https://harold197830720732935.googuu.xyz/api/get.php?id=2fee47829b45a56396afae57652,Richie Hawtin,3
23,"Christian Hornbostel, Richie Hawtin - CLOSE combined (Sensor Acid Overload) (Live)",83,https://harold197830720732935.googuu.xyz/api/get.php?id=ce292cb6c69d0b11f0963a30708,Richie Hawtin,3
24,"Eme Kulhnek, DJ Emerson, Richie Hawtin - CLOSE combined (Rolling Explicitly) (Live)",84,https://karl202003764002583.googuu.xyz/api/get.php?id=58051796aef49e93fc4715d3a54,Richie Hawtin,3
25,"Charlotte de Witte, S.Sic, Richie Hawtin - CLOSE combined (These Restless Drums) (Live)",85,https://lauren103351005573857.googuu.xyz/api/get.php?id=981e6945caf2da29fcc33d5bdf1,Richie Hawtin,3
26,"Edit Select, Rocky Miller, Richie Hawtin - CLOSE combined (Disengaged Acid) (Live)",87,https://lauren103351005573857.googuu.xyz/api/get.php?id=086e85b4b9f24613d9ae625bf8f,Richie Hawtin,3
27,"Dario Sorano, Richie Hawtin - CLOSE combined (Hybrid Acid) (Live)",88,https://lauren103351005573857.googuu.xyz/api/get.php?id=88cbbe348b660abedc58939d20a,Richie Hawtin,3
28,"Mental Resonance, Edit Select, Richie Hawtin - CLOSE combined (Antennae Select) (Live)",89,https://glenda22687894964250.googuu.xyz/api/get.php?id=b8f690487e61bb7a65b89c5f3fa,Richie Hawtin,3
29,Richie Hawtin - CLOSE combined (Moving Forward) (Live),90,https://glenda22687894964250.googuu.xyz/api/get.php?id=fdf20b8f46a5b75cd61b924f793,Richie Hawtin,3
30,"Cortechs, Mental Resonance, Richie Hawtin - CLOSE combined (Core Resonance) (Live)",91,https://glenda22687894964250.googuu.xyz/api/get.php?id=013a3a3909460fb0cca1f85bf18,Richie Hawtin,3
31,"Richie Hawtin, Cortechs, Mental Resonance - Core Resonance (CLOSE combined)",92,https://harold197830720732935.googuu.xyz/api/get.php?id=9a2807f9d277957b133dd81bd6a,Richie Hawtin,3
32,Another Time (Revisited),96,https://harold197830720732935.googuu.xyz/api/get.php?id=cd7dd0eef1b7ac7eee70dd242f9,Richie Hawtin,3
33,Train-abuse,97,https://amber186242704910003.googuu.xyz/api/get.php?id=f7555240f9465f6450da3ea743b,Richie Hawtin,3
34,Substance Abuse,98,https://amber186242704910003.googuu.xyz/api/get.php?id=ef7f85e2682773506d2672d7706,Richie Hawtin,3
35,UVA,99,https://joanne178972239606370.googuu.xyz/api/get.php?id=a9082601eea2a925575ef2021a4,Richie Hawtin,3
36,Last-trac,100,https://lauren103351005573857.googuu.xyz/api/get.php?id=f8015aac3dd49d6bdbdd48ecc1a,Richie Hawtin,3
37,Last Day,101,https://lauren103351005573857.googuu.xyz/api/get.php?id=57e7dbef47a1b0546eab04a58ef,Richie Hawtin,3
